COISAS	B-OUTRO
DA	I-OUTRO
SÁBADO	I-OUTRO
:	O
A	O
DIFERENÇA	O
ENTRE	O
O	O
JORNAL	B-COISA
DE	I-COISA
NOTÍCIAS	I-COISA
E	O
O	O
DIÁRIO	B-COISA
DE	I-COISA
NOTÍCIAS	I-COISA
No	B-TEMPO
dia	I-TEMPO
em	O
que	O
a	O
operação	O
«	O
Noite	B-ACONTECIMENTO
Branca	I-ACONTECIMENTO
»	O
começou	O
a	O
prender	O
suspeitos	O
de	O
serem	O
responsáveis	O
pelo	O
clima	O
de	O
violência	O
no	O
Porto	B-LOCAL
,	O
a	O
comparação	O
entre	O
um	O
jornal	O
de	O
Lisboa	B-LOCAL
,	O
o	O
Diário	B-OBRA
de	I-OBRA
Notícias	I-OBRA
,	O
e	O
um	O
do	O
Porto	B-LOCAL
,	O
o	O
Jornal	B-OBRA
de	I-OBRA
Notícias	I-OBRA
,	O
no	B-TEMPO
mesmo	I-TEMPO
dia	I-TEMPO
17	I-TEMPO
de	I-TEMPO
Dezembro	I-TEMPO
,	O
não	O
podia	O
ser	O
mais	O
significativa.	O
O	O
Diário	O
de	O
Notícias	O
falava	O
das	O
biografias	O
e	O
do	O
background	O
dos	O
detidos	O
,	O
fazendo	O
nota	O
,	O
como	O
é	O
óbvio	O
,	O
do	O
seu	O
profundo	O
envolvimento	O
com	O
a	O
claque	O
do	O
FCP	B-ORGANIZACAO
,	O
os	O
Super	B-PESSOA
Dragões	I-PESSOA
.	O
Na	O
verdade	O
nenhum	O
destes	O
homens	O
se	O
tornou	O
conhecido	O
por	O
ser	O
segurança	O
na	O
noite	O
,	O
nem	O
por	O
frequentar	O
ginásios	O
e	O
mesmo	O
as	O
suas	O
páginas	O
e	O
vídeos	O
guerreiros	O
(	O
*	O
)	O
nunca	O
tinham	O
merecido	O
muita	O
atenção.	O
Onde	O
eles	O
apareciam	O
era	O
à	O
frente	O
da	O
claque	O
em	O
filmes	O
(	O
a	O
SIC	B-ORGANIZACAO
mostrou-os	O
)	O
e	O
em	O
fotos	O
de	O
segurança	O
aos	O
dirigentes	O
do	O
clube.	O
No	O
Jornal	B-LOCAL
de	I-LOCAL
Notícias	I-LOCAL
tudo	O
isto	O
é	O
cuidadosamente	O
omitido	O
e	O
os	O
presos	O
aparecem	O
sem	O
biografia	O
,	O
ou	O
apenas	O
com	O
uma	O
referência	O
casual	O
e	O
singular	O
a	O
essa	O
pertença.	O
De	O
facto	O
,	O
o	O
Jornal	B-OBRA
de	I-OBRA
Notícias	I-OBRA
parece	O
ser	O
um	O
jornal	O
do	O
Casaquistão	B-LOCAL
tal	O
é	O
a	O
ignorância	O
do	O
que	O
se	O
passa	O
à	O
sua	O
volta.	O
Mas	O
não	O
é	O
,	O
é	O
mesmo	O
do	O
Porto	B-LOCAL
e	O
esse	O
é	O
que	O
é	O
o	O
problema	O
:	O
é	O
do	O
Porto	B-LOCAL
e	O
cala.	O
Reino	B-ORGANIZACAO
Unido	I-ORGANIZACAO
quer	O
proibir	O
Tintim	B-OBRA
12/Julho/2007	B-TEMPO
·	O
182	B-VALOR
Comentários	O
A	O
Comissão	B-ORGANIZACAO
pela	I-ORGANIZACAO
Igualdade	I-ORGANIZACAO
Racial	I-ORGANIZACAO
,	O
do	O
governo	O
britânico	O
,	O
pediu	O
que	O
as	O
livrarias	O
interrompam	O
a	O
venda	O
de	O
Tintim	B-OBRA
na	I-OBRA
África	I-OBRA
,	O
segundo	O
álbum	O
em	O
quadrinhos	O
de	O
uma	O
das	O
séries	O
mais	O
populares	O
do	O
mundo.	O
O	O
livro	O
é	O
racista.	O
Profundamente	O
racista.	O
Colonialista	O
ao	O
limite.	O
Publicado	O
em	B-TEMPO
1930	I-TEMPO
,	O
em	O
Tintin	B-OBRA
au	I-OBRA
Congo	I-OBRA
negros	O
são	O
burros	O
qual	O
portas	O
e	O
são	O
chamados	O
de	O
macacos.	O
O	O
álbum	O
não	O
é	O
sequer	O
particularmente	O
bom	O
:	O
é	O
uma	O
obra	O
menor	O
na	O
coleção	O
ilustrada	O
e	O
redigida	O
por	O
Georges	B-PESSOA
Remi	I-PESSOA
,	O
que	O
se	O
assinava	O
Hergé	B-ABSTRACCAO
.	O
No	O
Reino	B-LOCAL
Unido	I-LOCAL
,	O
Tintim	B-OBRA
na	I-OBRA
África	I-OBRA
é	O
vendido	O
entre	O
os	O
livros	O
adultos	O
,	O
não	O
entre	O
os	O
